Description,Item Category,Date of Retrieval,Department Name,College Name
Desktop Dell Precision 3431,computing,2025/3/13,Aerospace Engineering,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/3/13,School of Social Work,School of Social Work
Dell P2412Hb Monitor,electronics-av,2025/3/13,School of Social Work,School of Social Work
Dell Monitor,electronics-av,2025/3/13,School of Social Work,School of Social Work
Dell Monitor,electronics-av,2025/3/13,Mechanical Sci & Engineering,Grainger Engineering
Dell Monitor,electronics-av,2025/3/13,Mechanical Sci & Engineering,Grainger Engineering
Laptop Lenovo L13 Yoga,computing,2025/3/13,Mechanical Sci & Engineering,Grainger Engineering
Dell Optiplex 7050,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Optiplex 7050,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor P2418HZM,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Optiplex 7050,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Optiplex 5060,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Latitude 5590,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Desktop Dell Precision 3430,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Desktop Dell Precision 3431,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Desktop Dell Precision 3431,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Desktop Dell Precision 3430,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor P2314H,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Monitor P2314Ht,electronics-av,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Latitude 5300,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell Latitude 7400,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Dell P2214Hb,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Laptop Dell Latitude 5310,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
